GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maven-jacoco,org.example,Main,10,44,3,7,3,12,5,3,2,1
maven-jacoco,org.example,Roman,0,119,0,0,0,11,0,5,0,5
