GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TDD-6,org.example,Main,60,0,10,0,15,0,8,0,3,0
TDD-6,org.example,Roman,35,0,0,0,9,0,5,0,5,0
